num_ticket,fecha,asunto,usuario,prioridad,departamento,tipo,fuente,estado_actual,atraso,contesta,agente,equipo,lider,srn,correcciones,prevenciones,prioridad_corregida,prioridad_final
111592,1/26/2022 13:38,Nueva cuenta VPN,lrodriguez,Normal,Departamento Técnico Interno,Pedido,Web,Cerrado,0,1,jsarango,Equipo de mesa de ayuda,,,,,Normal,Normal
696299,1/27/2022 10:48,Puertos IP abiertos,dmorales,Normal,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Resuelto,0,0,rmorillo,Equipo de soporte de SAP,,,,,Normal,Normal
696340,1/28/2022 10:49,Problemas de inicio de sesión (primer semestre del año escolar 2020-2021),vcastro,Normal,Departamento Técnico Interno,Pedido,Web,Resuelto,1,1,nenriquez,Equipo de soporte de SAP,,,,,Normal,Normal
696313,1/28/2022 12:04,CUENTA VPN ABIERTA BLOQUEADA,sgomez,Normal,Departamento de soporte de SAP JDE,Pedido,Web,Resuelto,1,0,jsarango,Equipo de soporte de JDE,,,,,Normal,Normal
111456,1/28/2022 12:18,Notificaciones,mmorales,Alta,Departamento de soporte de SAP JDE,Pedido,Web,Cerrado,0,1,jsarango,Equipo de soporte de JDE,,,,,Alta,Alta
696709,1/28/2022 12:58,Instancia ePLDT DEV,lgomez,Normal,Departamento Técnico Interno,Incidente / Problema,Correo electrónico,Cerrado,1,0,spaez,Equipo de soporte de JDE,,,,,Normal,Normal
694825,1/28/2022 13:25,Palo Alto bloquea el acceso a internet del usuario,mfernandez,Alta,Departamento Técnico Interno,Incidente / Problema,Correo electrónico,Abierto,1,0,rmorillo,Equipo de Workday,,,,,Alta,Alta
696596,1/31/2022 14:07,No se puede acceder al CS 9.2,dgomez,Alta,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Cerrado,1,0,msandoval,Equipo de Workday,,,,,Alta,Alta
695191,1/31/2022 15:49,Solicitud de instalación de Google Drive,lrodriguez,Normal,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Resuelto,1,1,rmorillo,Equipo de soporte de JDE,,,,,,Normal
695875,2/1/2022 9:46,Ver la página de error de saldo de licencia,lfernandez,Baja,Departamento de soporte de SAP JDE,Pedido,Correo electrónico,Resuelto,1,0,rmorillo,Equipo de soporte de SAP,,,,,Baja,Baja
111156,2/2/2022 12:39,DEV NO ACCESIBLE,dramirez,Normal,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Cerrado,0,1,jsarango,Equipo de soporte de SAP,,,,,Normal,Normal
695015,2/2/2022 14:22,Instalación del sistema operativo para el cliente DOT,vfernandez,Normal,Departamento de soporte de SAP JDE,Pedido,Web,Resuelto,1,1,rmorillo,Equipo de Salesforce,,,,,Normal,Normal
696453,2/3/2022 12:47,Problema COS: Observaciones faltantes,amartinez,Alta,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Resuelto,1,0,spaez,Equipo de red,,,,,Alta,Alta
696436,2/4/2022 9:44,Cuentas VPN,aperez,Normal,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Abierto,1,1,mjacome,Equipo de Salesforce,,,,,Normal,Normal
696215,2/4/2022 9:52,JDE PROD - Estado de error de las transacciones,lvargas,Alta,Departamento de soporte de SAP JDE,Pedido,Web,Abierto,1,1,rmorillo,Equipo de Salesforce,,,,,Alta,Alta
111130,2/4/2022 10:54,VPN,cmorales,Normal,Departamento de soporte de SAP JDE,Pedido,Web,Cerrado,0,1,nenriquez,Equipo de soporte de JDE,,,,,Normal,Normal
695585,2/4/2022 12:36,Publicar problema - Administrador de acceso SQLSQL,sperez,Normal,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Resuelto,1,0,spaez,Equipo de Workday,,,,,Normal,Normal
111534,2/7/2022 10:25,Procesar múltiples ejecuciones de nómina de empleados,alopez,Normal,Departamento de soporte de SAP JDE,Pedido,Web,Cerrado,0,1,jsarango,Equipo de soporte de JDE,,,,,Normal,Normal
696572,2/7/2022 12:11,Detalles de conexión de la instancia,mlopez,Baja,Departamento Técnico Interno,Pedido,Correo electrónico,Resuelto,1,0,jsarango,Equipo de Salesforce,,,,,Baja,Baja
696201,2/7/2022 12:27,Pruebas assdasd,vperez,Normal,Departamento Técnico Interno,Incidente / Problema,Web,Abierto,0,1,nenriquez,Equipo de red,,,,,Normal,Normal
695717,2/7/2022 15:01,No se puede calcular la matrícula para el estudiante específico.,jramirez,Alta,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Abierto,0,0,mjacome,Equipo de soporte de JDE,,,,,Alta,Alta
695628,2/7/2022 16:11,No se puede ver la categoría en la venta de entradas,vmartinez,Normal,Departamento Técnico Interno,Incidente / Problema,Correo electrónico,Abierto,1,1,spaez,Equipo de Salesforce,,,,,Normal,Normal
695236,2/8/2022 13:48,"Problema posterior: Aparece el mensaje ""No queda espacio en el dispositivo""",jperez,Normal,Departamento de soporte de SAP JDE,Pedido,Correo electrónico,Cerrado,1,1,spaez,Equipo de red,,,,,Normal,Normal
694901,2/9/2022 8:19,Informe de gastos de aprobación de AME con estado diferido,lfernandez,Normal,Departamento de soporte de SAP JDE,Pedido,Correo electrónico,Resuelto,1,0,msandoval,Equipo de Workday,,,,,Normal,Normal
695206,2/9/2022 11:54,Solicitud de reset de clave,jmartinez,Normal,Departamento Técnico Interno,Pedido,Web,Cerrado,0,1,mjacome,Equipo de AWS,,,,,,Normal
111206,2/10/2022 16:29,Desaceleración de JDE PROD el 21 de mayo de 2019,mgomez,Alta,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Cerrado,0,1,jsarango,Equipo de soporte de JDE,,,,,Alta,Alta
696585,2/11/2022 8:13,Anexo UPMin de Cuentas por Pagar de JDE,slopez,Normal,Departamento Técnico Interno,Pedido,Web,Cerrado,1,1,msandoval,BPM - Equipo de soporte de ProcessMaker,,,,,Normal,Normal
696553,2/11/2022 11:48,PROD: Fecha de inicio más reciente correcta del empleado,dmorales,Normal,Departamento Técnico Interno,Pedido,Correo electrónico,Cerrado,1,1,jsarango,Equipo de hardware,,,,,Normal,Normal
695003,2/11/2022 14:46,Página de error de JDE después de la actividad de producción,afernandez,Baja,Departamento Técnico Interno,Incidente / Problema,Correo electrónico,Resuelto,0,0,nenriquez,Equipo de Workday,,,,,Baja,Baja
695530,2/11/2022 15:31,Soporte para impresora y actualización de firma electrónica por cambio de CPU,amorales,Urgente,Departamento Técnico Interno,Incidente / Problema,Web,Cerrado,1,0,rmorillo,BPM - Equipo de soporte de ProcessMaker,,,,,,Baja
111458,2/11/2022 16:17,Soporte para iPhone,alopez,Normal,Departamento Técnico Interno,Pedido,Correo electrónico,Cerrado,0,1,jsarango,Equipo de mesa de ayuda,,,,,Normal,Normal
695581,2/14/2022 9:33,Modificar el tipo de posición (lista de valores),sgomez,Normal,Departamento Técnico Interno,Incidente / Problema,Correo electrónico,Resuelto,0,1,jsarango,BPM - Equipo de soporte de ProcessMaker,,,,,Normal,Normal
694997,2/14/2022 12:48,Duración de la ausencia,jfernandez,Urgente,Departamento de soporte de SAP JDE,Pedido,Correo electrónico,Resuelto,1,1,msandoval,Equipo de Workday,,,,,Urgente,Urgente
695480,2/15/2022 10:34,Baliwag - Error de escritorio,jmorales,Normal,Departamento Técnico Interno,Incidente / Problema,Correo electrónico,Cerrado,0,0,msandoval,Equipo de hardware,,,,,Normal,Normal
695205,2/16/2022 10:12,Fecha servidor pagina STC,slopez,Normal,Departamento Técnico Interno,Pedido,Correo electrónico,Abierto,1,0,mjacome,Equipo de AWS,,,,,,Baja
111578,2/16/2022 14:06,Preocupación por borrar la caché del navegador,avargas,Baja,Departamento de soporte de SAP JDE,Pedido,Web,Cerrado,0,1,jsarango,Equipo de soporte de SAP,,,,,Baja,Baja
696542,2/16/2022 14:47,Unidades de demostración para extracción,arodriguez,Normal,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Abierto,0,0,msandoval,Equipo de AWS,,,,,Normal,Normal
696211,2/17/2022 14:26,Problema SMTP en SAP Prod,jcastro,Normal,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Abierto,1,1,jsarango,Equipo de hardware,,,,,Normal,Normal
694880,2/17/2022 15:46,Solicitud de actualización del enlace de la Política de Privacidad,dmorales,Normal,Departamento Técnico Interno,Incidente / Problema,Correo electrónico,Resuelto,1,1,rmorillo,BPM - Equipo de soporte de ProcessMaker,,,,,Normal,Normal
695237,2/18/2022 8:36,Problema del agente de integración,jfernandez,Normal,Departamento de soporte de SAP JDE,Pedido,Web,Cerrado,0,0,jsarango,Equipo de AWS,,,,,Normal,Normal
696095,2/18/2022 11:45,Aprobación DV,vgomez,Baja,Departamento Técnico Interno,Pedido,Web,Abierto,0,0,rmorillo,BPM - Equipo de soporte de ProcessMaker,,,,,Baja,Baja
111655,2/18/2022 13:02,Optimizar la consulta creada.,vcastro,Normal,Departamento de soporte de SAP JDE,Pedido,Web,Abierto,0,1,spaez,Equipo de soporte de SAP,,,,,Normal,Normal
695512,2/18/2022 16:26,Solicitar ECI para la página del asesor estudiantil,srodriguez,Baja,Departamento de soporte de SAP JDE,Pedido,Correo electrónico,Abierto,0,0,mjacome,Equipo de soporte de JDE,,,,,Baja,Baja
695201,2/21/2022 8:33,Instancia de prueba: Modificar categorías de empleados,lperez,Normal,Departamento de soporte de SAP JDE,Pedido,Web,Cerrado,0,1,rmorillo,Equipo de Workday,,,,,Normal,Normal
695475,2/21/2022 9:09,Error al crear la Organización en TEST,mcastro,Normal,Departamento Técnico Interno,Incidente / Problema,Correo electrónico,Cerrado,0,1,nenriquez,Equipo de soporte de JDE,,,,,Normal,Normal
696295,2/21/2022 11:14,PROD: Buscar una tabla específica en Oracle,dramirez,Normal,Departamento Técnico Interno,Incidente / Problema,Web,Abierto,0,0,spaez,Equipo de soporte de JDE,,,,,Normal,Normal
111517,2/21/2022 13:00,No se puede generar el informe después de la degradación de la base de datos,lcastro,Alta,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Cerrado,0,1,jsarango,Equipo de soporte de SAP,,,,,Alta,Alta
111660,2/21/2022 15:15,No se puede abrir el archivo adjunto en JDE SIT,cmartinez,Normal,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Abierto,0,1,mjacome,Equipo de soporte de JDE,,,,,Normal,Normal
111490,2/22/2022 16:17,Solicitar almacenamiento adicional,lgomez,Normal,Departamento Técnico Interno,Pedido,Web,Cerrado,0,1,jsarango,Equipo de Salesforce,,,,,Normal,Normal
695832,2/23/2022 10:06,portátil de bajo rendimiento,dcastro,Normal,Departamento de soporte de SAP JDE,Pedido,Web,Resuelto,1,0,nenriquez,Equipo de Workday,,,,,Normal,Normal
695975,2/23/2022 12:26,ACTUALIZACIÓN DE FORMACIÓN,drodriguez,Alta,Departamento de soporte de SAP JDE,Pedido,Correo electrónico,Cerrado,0,0,msandoval,BPM - Equipo de soporte de ProcessMaker,,,,,,Baja
695672,2/24/2022 8:33,Problema con el puerto tras la aplicación de parches (23 de agosto de 2020),scastro,Urgente,Departamento de soporte de SAP JDE,Pedido,Correo electrónico,Resuelto,1,1,msandoval,Equipo de soporte de SAP,,,,,Urgente,Urgente
696485,2/24/2022 16:14,Instancia DEV no accesible,cmartinez,Normal,Departamento de soporte de SAP JDE,Pedido,Correo electrónico,Cerrado,0,1,mjacome,Equipo de Workday,,,,,Normal,Normal
695386,2/25/2022 11:03,Cómo ejecutar el paquete SQL,smartinez,Normal,Departamento de soporte de SAP JDE,Pedido,Web,Cerrado,0,0,spaez,Equipo de soporte de JDE,,,,,Normal,Normal
694857,2/25/2022 11:57,Oracle Web ADI: Error fatal,lmorales,Alta,Departamento Técnico Interno,Pedido,Web,Abierto,1,0,rmorillo,Equipo de soporte de JDE,,,,,Alta,Alta
696593,2/25/2022 16:22,Información STC,jfernandez,Alta,Departamento de soporte de SAP JDE,Pedido,Correo electrónico,Cerrado,0,1,jsarango,Equipo de hardware,,,,,,Baja
695297,2/28/2022 11:08,Cuenta OpenVPN bloqueada,lcastro,Normal,Departamento de soporte de SAP JDE,Incidente / Problema,Correo electrónico,Cerrado,1,0,msandoval,Equipo de soporte de SAP,,,,,Normal,Normal
695989,2/28/2022 15:34,REGISTRO Informe de evaluación de necesidad de reemplazo de computadoras,aramirez,Alta,Departamento Técnico Interno,Pedido,Correo electrónico,Abierto,0,0,nenriquez,Equipo de soporte de JDE,,,,,,Normal
111144,3/1/2022 16:11,Adjuntar/Vincular un grupo de aprobadores a una regla,dmartinez,Normal,Departamento de soporte de SAP JDE,Pedido,Web,Cerrado,0,1,jsarango,Equipo de soporte de JDE,,,,,Normal,Normal
695502,3/2/2022 8:26,Problema SMTP en SAP Prod,dlopez,Normal,Departamento Técnico Interno,Incidente / Problema,Correo electrónico,Resuelto,1,1,mjacome,Equipo de Workday,,,,,Normal,Normal
111263,3/2/2022 11:50,Error al acceder a SAP.EDU.PH,cvargas,Normal,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Cerrado,0,1,jsarango,Equipo de soporte de SAP,,,,,Normal,Normal
695182,3/2/2022 14:34,Error de OpenVPN,llopez,Normal,Departamento Técnico Interno,Incidente / Problema,Correo electrónico,Resuelto,1,1,mjacome,Equipo de hardware,,,,,Normal,Normal
111498,3/3/2022 13:26,El error persiste en la página de la hoja de cálculo BEE,cvargas,Alta,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Cerrado,0,1,jsarango,Equipo de soporte de JDE,,,,,Alta,Alta
696099,3/4/2022 12:50,JDE PROD - Error al actualizar la configuración de AME,jgomez,Alta,Departamento de soporte de SAP JDE,Pedido,Correo electrónico,Cerrado,1,1,msandoval,Equipo de Workday,,,,,Alta,Alta
695359,3/4/2022 13:27,Rendimiento lento de SAP/SAP tarda demasiado en cargarse,jlopez,Normal,Departamento de soporte de SAP JDE,Pedido,Correo electrónico,Abierto,0,1,nenriquez,Equipo de red,,,,,Normal,Normal
695012,3/7/2022 13:37,Tiempo de inactividad del sistema,llopez,Urgente,Departamento de soporte de SAP JDE,Pedido,Web,Cerrado,1,1,msandoval,Equipo de soporte de JDE,,,,,Urgente,Urgente
696719,3/7/2022 15:05,Preparación para la actualización 9.2,sgomez,Normal,Departamento de soporte de SAP JDE,Pedido,Web,Resuelto,1,0,rmorillo,Equipo de hardware,,,,,Normal,Normal
695481,3/8/2022 13:01,Creación de cuentas VPN,mcastro,Normal,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Resuelto,1,1,msandoval,Equipo de Workday,,,,,Normal,Normal
696621,3/8/2022 15:47,"No se pudo obtener la fecha de inicio del período. (14813,43)",crodriguez,Normal,Departamento de soporte de SAP JDE,Pedido,Correo electrónico,Resuelto,1,0,spaez,Equipo de soporte de SAP,,,,,Normal,Normal
695280,3/9/2022 16:27,Actualización de BPM de 3.1 a 3.3,sgomez,Normal,Departamento de soporte de SAP JDE,Pedido,Web,Abierto,1,1,jsarango,Equipo de soporte de SAP,,,,,Normal,Normal
696528,3/10/2022 16:21,Carga lenta en SAP - 3 de enero de 2020,lcastro,Urgente,Departamento Técnico Interno,Incidente / Problema,Web,Resuelto,1,0,jsarango,Equipo de Salesforce,,,,,Urgente,Urgente
696579,3/11/2022 9:16,Cliente PeopleTools DPK,arodriguez,Normal,Departamento Técnico Interno,Incidente / Problema,Correo electrónico,Abierto,0,0,mjacome,Equipo de Workday,,,,,Normal,Normal
111222,3/11/2022 10:00,Crear función específica en la Responsabilidad,mrodriguez,Urgente,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Cerrado,0,1,jsarango,Equipo de soporte de JDE,,,,,Urgente,Urgente
111167,3/11/2022 10:08,Eliminar la autenticación,slopez,Normal,Departamento Técnico Interno,Pedido,Web,Cerrado,0,1,jsarango,Equipo de mesa de ayuda,,,,,Normal,Normal
111627,3/11/2022 11:10,Publicación del problema: PROBLEMAS DE INICIO DE SESIÓN EN SAP ENCONTRADOS,vmartinez,Normal,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Cerrado,0,1,jsarango,Equipo de soporte de SAP,,,,,Normal,Normal
696398,3/11/2022 11:16,Google Drive no funciona,lmorales,Normal,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Abierto,1,1,rmorillo,Equipo de Salesforce,,,,,Normal,Normal
695506,3/14/2022 8:46,Política Institucional ARCH 2025,lgomez,Urgente,Departamento Técnico Interno,Pedido,Correo electrónico,Abierto,0,0,jsarango,Equipo de AWS,,,,,,Urgente
696065,3/14/2022 9:51,Acceso a Zoom Urgente,cramirez,Urgente,Departamento Técnico Interno,Pedido,Web,Abierto,1,1,rmorillo,Equipo de Workday,,,,,,Normal
695848,3/14/2022 13:40,PROD: No se pueden eliminar registros en los campos de investigación,jlopez,Normal,Departamento de soporte de SAP JDE,Pedido,Correo electrónico,Abierto,0,0,rmorillo,BPM - Equipo de soporte de ProcessMaker,,,,,Normal,Normal
696443,3/14/2022 14:00,Instancia de prueba: Modificar categorías de empleados,jmartinez,Normal,Departamento de soporte de SAP JDE,Pedido,Correo electrónico,Resuelto,1,1,jsarango,Equipo de Workday,,,,,Normal,Normal
696153,3/15/2022 8:16,[SAP] La página no está disponible,jperez,Normal,Departamento Técnico Interno,Pedido,Web,Resuelto,1,0,spaez,Equipo de soporte de SAP,,,,,Normal,Normal
695925,3/17/2022 10:39,Problema COS: Observaciones faltantes,lcastro,Alta,Departamento Técnico Interno,Pedido,Correo electrónico,Abierto,0,0,rmorillo,Equipo de AWS,,,,,Alta,Alta
111257,3/17/2022 13:44,Abrir cuentas VPN,mperez,Baja,Departamento de soporte de SAP JDE,Pedido,Web,Cerrado,0,1,jsarango,Equipo de AWS,,,,,Baja,Baja
695214,3/17/2022 15:22,Error de importación del diario,vperez,Normal,Departamento de soporte de SAP JDE,Pedido,Correo electrónico,Resuelto,0,0,msandoval,Equipo de Salesforce,,,,,Normal,Normal
696492,3/18/2022 10:33,Script SQL personalizado en el informe - Detalles de Internet,sfernandez,Normal,Departamento Técnico Interno,Incidente / Problema,Web,Abierto,0,1,nenriquez,Equipo de soporte de JDE,,,,,Normal,Normal
696011,3/18/2022 13:51,Actualización firma electronica,sgomez,Alta,Departamento Técnico Interno,Incidente / Problema,Correo electrónico,Resuelto,0,1,nenriquez,Equipo de hardware,,,,,,Normal
111291,3/18/2022 14:06,Desaceleración de JDE PROD el 28 de agosto de 2019,jmartinez,Alta,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Cerrado,0,1,jsarango,Equipo de soporte de JDE,,,,,Alta,Alta
111327,3/18/2022 14:51,Ordenar el nombre del elemento alfabéticamente,sfernandez,Normal,Departamento de soporte de SAP JDE,Pedido,Web,Cerrado,0,1,jsarango,Equipo de soporte de JDE,,,,,Normal,Normal
694841,3/18/2022 15:09,Implementación de Java Web Start,mramirez,Normal,Departamento Técnico Interno,Pedido,Web,Resuelto,1,1,jsarango,Equipo de soporte de SAP,,,,,Normal,Normal
695724,3/21/2022 8:35,Error de proceso por lotes,cperez,Normal,Departamento Técnico Interno,Pedido,Correo electrónico,Abierto,0,1,jsarango,Equipo de AWS,,,,,Normal,Normal
694869,3/21/2022 9:50,Error al presentar Autorización para Rellenar,lrodriguez,Normal,Departamento de soporte de SAP JDE,Pedido,Correo electrónico,Cerrado,0,0,jsarango,Equipo de red,,,,,Normal,Normal
694911,3/21/2022 12:45,Creación de usuario para el permiso de Integration Broker,vcastro,Normal,Departamento Técnico Interno,Pedido,Web,Abierto,1,1,rmorillo,Equipo de Salesforce,,,,,Normal,Normal
111430,3/21/2022 14:10,SAP NO ACCESIBLE,jrodriguez,Urgente,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Cerrado,0,1,jsarango,Equipo de soporte de SAP,,,,,Urgente,Urgente
696272,3/21/2022 14:42,Actualización de la base de datos de desarrollo a partir de los datos de producción,llopez,Normal,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Cerrado,1,0,mjacome,Equipo de Salesforce,,,,,Normal,Normal
695324,3/21/2022 16:26,Eliminar el acceso a la página de inscripción,mmartinez,Normal,Departamento de soporte de SAP JDE,Pedido,Correo electrónico,Abierto,0,0,jsarango,BPM - Equipo de soporte de ProcessMaker,,,,,Normal,Normal
111576,3/22/2022 13:06,Bajo rendimiento,jgomez,Urgente,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Cerrado,0,1,jsarango,Equipo de soporte de SAP,,,,,Urgente,Urgente
111247,3/23/2022 9:15,No se puede calcular la matrícula para el estudiante específico.,jvargas,Alta,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Cerrado,0,1,jsarango,Equipo de soporte de SAP,,,,,Alta,Alta
694839,3/23/2022 11:08,Permiso de clase de FOR 200-3 en UPLB,mmartinez,Alta,Departamento de soporte de SAP JDE,Incidente / Problema,Correo electrónico,Abierto,0,1,rmorillo,Equipo de hardware,,,,,Alta,Alta
695396,3/23/2022 14:59,ERROR DE SQL,lmorales,Urgente,Departamento Técnico Interno,Incidente / Problema,Web,Cerrado,1,1,spaez,Equipo de mesa de ayuda,,,,,Urgente,Urgente
696426,3/24/2022 9:21,Zoom no se puede instalar,dperez,Normal,Departamento de soporte de SAP JDE,Pedido,Web,Resuelto,1,1,jsarango,Equipo de red,,,,,Normal,Normal
695873,3/24/2022 14:44,Ralentización de la instancia de prueba de JDE,lramirez,Normal,Departamento Técnico Interno,Incidente / Problema,Web,Abierto,0,0,spaez,Equipo de AWS,,,,,Normal,Normal
695466,3/25/2022 16:28,Problema del agente de integración,mvargas,Normal,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Cerrado,1,1,msandoval,Equipo de AWS,,,,,Normal,Normal
